################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         69   0.0000000000000000E+00   1.9194147058054018E-02   1.2780364167741163E-03   1.5050630827959043E-03
         2         70   2.4572093396069329E-04   8.2991440449979970E-02   2.7733682031183163E-02   8.5603877226384864E-03
         2         71   0.0000000000000000E+00   6.6848044867529516E-02   1.3598686610039403E-02   8.9492699630053327E-03
         2         72   0.0000000000000000E+00   1.3122029133087694E-02   9.1381732783862499E-04   1.2068888798154309E-03
         2         73   1.6023530371202983E-06   4.5371976388577318E-02   1.6695692095150087E-02   4.8908935311599479E-03
         2         74   0.0000000000000000E+00   2.8282412430100899E-02   5.4181254586844656E-03   3.6902870180669451E-03
         2         75   0.0000000000000000E+00   7.1123010866334805E-03   6.0717505358560573E-04   6.8666858876235840E-04
         2         76   1.0793979352300906E-04   2.1609248160997952E-02   4.1367513851562742E-03   1.6389882302434002E-03
         2         77   0.0000000000000000E+00   2.4752565963761249E-02   5.2647733195212059E-03   3.2583515772774785E-03
         2         78   0.0000000000000000E+00   2.7708237580920106E-03   2.2899934461285590E-04   3.1620229421817523E-04
         2         79   3.7748497529871183E-10   3.3210152241245634E-02   1.0311294062080678E-02   3.8216055949713652E-03
         2         80   0.0000000000000000E+00   7.3214349101013761E-03   3.3926590471097242E-04   3.5044480233003975E-04
         2         81   0.0000000000000000E+00   5.2005736309036904E-03   3.6376537454745701E-04   4.6213809097839708E-04
         2         82   2.5023489357845870E-07   1.1211321601926820E-03   2.8912689283118962E-05   5.7834098966977383E-05
         2         83   0.0000000000000000E+00   9.5719294472098693E-04   2.0052429070346159E-04   1.0652393152257199E-04
         2         84   0.0000000000000000E+00   5.8144620541151407E-05   1.9596251270187398E-06   3.4259670724724439E-06
         2         85   1.4713309170961630E-06   2.0169296481699142E-02   5.0629146496586636E-03   2.0069668176910015E-03
         2         86   0.0000000000000000E+00   1.0116568086526008E-02   9.1165905771294683E-04   9.0035887199533616E-04
