################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.3689486644119038E-01 a       227     0    10     1    11
 -1.3594864768175729E+01 a       228     0    10     1    12
  1.3936686883015369E+01 a       229     0    10     1    13
  2.1270407224062446E+00 a       230     0    10     1    14
 -1.0818791821355322E+01 a       231     0    10     1    15
  9.1566286700748805E+00 a       232     0    10     1    16
 -2.1109564391562570E+00 a       233     0    10     1    17
 -2.1965885288422680E+00 a       234     0    10     1    18
  8.4085114679941775E-01 a       235     0    10     1    19
 -4.6143998617654844E+00 a       236     0    10     1    20
 -1.1101566833729537E+01 a       237     0    10     1    21
  1.5240698770389718E+01 a       238     0    10     1    22
  1.2641671541288943E+01 a       239     0    10     1    23
 -3.0357271902742715E+00 a       240     0    10     1    24
 -3.9151550359979228E+00 a       241     0    11     1     1
  1.5902101352249072E+00 a       242     0    11     1     2
  4.8979068746633576E+00 a       243     0    11     1     3
  2.6878785669052152E+00 a       244     0    11     1     4
  1.5711998634592725E+00 a       245     0    11     1     5
 -6.7469293554357357E-01 a       246     0    11     1     6
  5.8652454906860312E+00 a       247     0    11     1     7
  3.9575102968324170E+00 a       248     0    11     1     8
  2.5042799384152309E-01 a       249     0    11     1     9
 -8.7013367062847080E-01 a       250     0    11     1    10
  1.2635266904784553E-01 a       251     0    11     1    11
  6.4476794729438813E+00 a       252     0    11     1    12
 -8.4568572246415741E+00 a       253     0    11     1    13
  3.9906555910118775E+00 a       254     0    11     1    14
  3.0410677261429577E+00 a       255     0    11     1    15
  3.0795588232477755E-01 a       256     0    11     1    16
  2.3251095113151852E+00 a       257     0    11     1    17
 -1.1293113395239915E+00 a       258     0    11     1    18
 -2.5584446294224064E+00 a       259     0    11     1    19
 -4.3382008184669587E+00 a       260     0    11     1    20
  2.4494863267100566E+00 a       261     0    11     1    21
 -1.3601268850954440E+00 a       262     0    11     1    22
 -9.4189479226094281E+00 a       263     0    11     1    23
 -2.0873841178217827E+00 a       264     0    11     1    24
 -1.0605794978258847E+00 a       265     0    12     1     1
 -1.6252342573892680E+00 a       266     0    12     1     2
 -1.5658708913321817E+00 a       267     0    12     1     3
 -2.2499979350829691E-01 a       268     0    12     1     4
  3.7772185575053450E+00 a       269     0    12     1     5
  6.6534719766676993E+00 a       270     0    12     1     6
  3.0965075135543234E+00 a       271     0    12     1     7
  3.6594906221289065E+00 a       272     0    12     1     8
  1.6254251430793225E+00 a       273     0    12     1     9
  2.5475025431320888E+00 a       274     0    12     1    10
  1.7885580745236396E+00 a       275     0    12     1    11
  5.8199139550578822E+00 a       276     0    12     1    12
 -5.5487335134983899E+00 a       277     0    12     1    13
  8.5251569848556552E-01 a       278     0    12     1    14
  3.2125483887799122E+00 a       279     0    12     1    15
 -4.2974614746699782E+00 a       280     0    12     1    16
  4.1256649646924330E+00 a       281     0    12     1    17
  1.9098876385494197E+00 a       282     0    12     1    18
  2.3466795116935751E-01 a       283     0    12     1    19
  8.7428465631820351E-01 a       284     0    12     1    20
  2.8930980939995652E+00 a       285     0    12     1    21
 -4.9636350070126980E+00 a       286     0    12     1    22
 -6.0962595922446479E+00 a       287     0    12     1    23
  1.3587304965739075E+00 a       288     0    12     1    24
 -9.3284709870962015E+00 a       289     0    13     1     1
  6.9393379129394086E+00 a       290     0    13     1     2
  1.2297207512909929E+00 a       291     0    13     1     3
  2.8387987816536939E+00 a       292     0    13     1     4
 -5.0495274456149994E+00 a       293     0    13     1     5
 -5.8941841291249810E+00 a       294     0    13     1     6
  6.8197858781779711E-02 a       295     0    13     1     7
  2.4873319923369053E+00 a       296     0    13     1     8
 -4.1125247225696882E+00 a       297     0    13     1     9
 -6.6854558053966118E+00 a       298     0    13     1    10
  4.0949300448166346E+00 a       299     0    13     1    11
  4.8864065139408783E+00 a       300     0    13     1    12
 -2.7204929985320199E+00 a       301     0    13     1    13
 -2.0651929748213491E+00 a       302     0    13     1    14
 -3.7502197724060289E+00 a       303     0    13     1    15
  1.8005264055514292E+01 a       304     0    13     1    16
 -2.5437216386409114E+00 a       305     0    13     1    17
  9.5610704772999178E+00 a       306     0    13     1    18
  1.4510270416501143E+00 a       307     0    13     1    19
 -1.2636374271548213E+01 a       308     0    13     1    20
  2.0881590442240778E+00 a       309     0    13     1    21
 -5.1024672752899800E+00 a       310     0    13     1    22
  1.2952332582911005E+01 a       311     0    13     1    23
  5.7118621638980986E+00 a       312     0    13     1    24
  3.5582409634737879E+00 a       313     0    14     1     1
 -1.4199133837169835E+01 a       314     0    14     1     2
 -3.3859664386462547E+00 a       315     0    14     1     3
 -3.4089882386882935E+00 a       316     0    14     1     4
 -2.6109440699259969E+00 a       317     0    14     1     5
 -6.6489961799025794E+00 a       318     0    14     1     6
  6.3029790823425751E+00 a       319     0    14     1     7
 -2.7792951931591237E+00 a       320     0    14     1     8
  4.3619863389241381E-01 a       321     0    14     1     9
 -1.0397037004632125E+01 a       322     0    14     1    10
  7.7501035819490538E-01 a       323     0    14     1    11
 -5.6185844105446936E+00 a       324     0    14     1    12
  2.8526743632169085E+00 a       325     0    14     1    13
  1.3215768367612143E-01 a       326     0    14     1    14
 -1.2125001712679628E+00 a       327     0    14     1    15
 -5.1434427151542623E+00 a       328     0    14     1    16
  8.7132569070244958E+00 a       329     0    14     1    17
  4.3994137828390051E-01 a       330     0    14     1    18
  9.1947897836031096E+00 a       331     0    14     1    19
  2.0720376258965771E+00 a       332     0    14     1    20
 -8.2140022739813343E+00 a       333     0    14     1    21
 -1.2239050254205521E+01 a       334     0    14     1    22
  7.5939514374699557E-01 a       335     0    14     1    23
 -6.2754463047891196E-01 a       336     0    14     1    24
  1.1902567744122068E+01 a       337     0    15     1     1
 -1.0410618946023183E+01 a       338     0    15     1     2
 -2.6243725466906485E+00 a       339     0    15     1     3
  7.1975821296589046E+00 a       340     0    15     1     4
  4.5949688187110098E+00 a       341     0    15     1     5
 -4.0565080181332780E+00 a       342     0    15     1     6
  2.7195916707935917E+00 a       343     0    15     1     7
 -6.3387094038913157E+00 a       344     0    15     1     8
  1.6165759818052031E+01 a       345     0    15     1     9
  5.5036118796018636E+00 a       346     0    15     1    10
 -4.1212942241110566E+00 a       347     0    15     1    11
  1.0992882165308552E+01 a       348     0    15     1    12
  2.1375007446518244E+00 a       349     0    15     1    13
  1.2849422206082968E+00 a       350     0    15     1    14
 -5.7526070410197088E+00 a       351     0    15     1    15
 -2.5715747988697055E+00 a       352     0    15     1    16
 -7.2229217525688103E+00 a       353     0    15     1    17
  5.6399114060640239E+00 a       354     0    15     1    18
 -2.5419718326489327E+00 a       355     0    15     1    19
 -2.2709280829654248E+00 a       356     0    15     1    20
  1.0327100347505850E+01 a       357     0    15     1    21
 -8.4323789589214595E+00 a       358     0    15     1    22
 -6.1902004276059728E+00 a       359     0    15     1    23
  4.9202112331249843E+00 a       360     0    15     1    24
 -3.2887866922245061E+00 a       361     0    16     1     1
 -1.3318196554688435E+00 a       362     0    16     1     2
  1.2935712932503030E+01 a       363     0    16     1     3
 -1.1869813582464463E+01 a       364     0    16     1     4
  1.4642732609515125E+01 a       365     0    16     1     5
 -1.1671515166565525E+00 a       366     0    16     1     6
  1.0731022554232558E+01 a       367     0    16     1     7
 -1.9636842481205203E+01 a       368     0    16     1     8
  7.7835967918710907E+00 a       369     0    16     1     9
  8.9443379359869368E+00 a       370     0    16     1    10
  1.5510571894762101E+01 a       371     0    16     1    11
 -7.1733659732581661E+00 a       372     0    16     1    12
 -3.7262683401052272E+00 a       373     0    16     1    13
 -7.2458661202121375E+00 a       374     0    16     1    14
  6.1959248973582426E+00 a       375     0    16     1    15
 -1.0019767051085391E+00 a       376     0    16     1    16
  6.1616563605842387E+00 a       377     0    16     1    17
 -1.9078609811302054E+00 a       378     0    16     1    18
 -3.4359132257149367E+00 a       379     0    16     1    19
 -5.9202229047944828E+00 a       380     0    16     1    20
  5.1312098827595098E-01 a       381     0    16     1    21
  1.8588168250272914E+00 a       382     0    16     1    22
 -9.2861225083282726E+00 a       383     0    16     1    23
  4.5681841972282058E+00 a       384     0    16     1    24
  7.2271297759050430E+00 a       385     0    17     1     1
 -5.5144511866455082E+00 a       386     0    17     1     2
 -1.2198239854286572E+00 a       387     0    17     1     3
 -3.8431348625970791E+00 a       388     0    17     1     4
  3.9047188630952223E+00 a       389     0    17     1     5
  2.5344500094605427E-01 a       390     0    17     1     6
 -8.7346277758934434E+00 a       391     0    17     1     7
  5.1764306494084185E+00 a       392     0    17     1     8
 -1.7652417782492641E+01 a       393     0    17     1     9
 -1.4243633815021635E+00 a       394     0    17     1    10
  7.8681841816809115E+00 a       395     0    17     1    11
  2.5920133253077000E+00 a       396     0    17     1    12
  5.4063286739364480E-01 a       397     0    17     1    13
 -7.3724975731800244E+00 a       398     0    17     1    14
 -7.0564920485206875E+00 a       399     0    17     1    15
  3.5918014929044770E+00 a       400     0    17     1    16
 -1.1584868952629717E+01 a       401     0    17     1    17
 -1.1009080506494608E+00 a       402     0    17     1    18
 -2.2577948060543820E+00 a       403     0    17     1    19
  3.5314064171759885E+00 a       404     0    17     1    20
  6.0620223018764792E+00 a       405     0    17     1    21
  1.4551109407707280E+01 a       406     0    17     1    22
  5.8284622132363202E+00 a       407     0    17     1    23
 -5.6463681283913769E-01 a       408     0    17     1    24
  2.7100192369612484E+00 a       409     0    18     1     1
 -6.5804184749003687E+00 a       410     0    18     1     2
 -5.4476886355317999E+00 a       411     0    18     1     3
  4.6691755967289419E+00 a       412     0    18     1     4
  5.8531490127212207E+00 a       413     0    18     1     5
  4.8253747520406955E+00 a       414     0    18     1     6
 -5.2868338358949840E-01 a       415     0    18     1     7
 -8.8143137354189811E+00 a       416     0    18     1     8
  3.0443169939093067E+00 a       417     0    18     1     9
 -2.0444684127244297E+01 a       418     0    18     1    10
  8.9169274236127727E+00 a       419     0    18     1    11
  5.4404347662461392E+00 a       420     0    18     1    12
 -5.5933178497153131E+00 a       421     0    18     1    13
 -9.1563777347961004E+00 a       422     0    18     1    14
  8.6313252458582674E+00 a       423     0    18     1    15
  1.1577454111682050E+01 a       424     0    18     1    16
 -5.8903084792260065E+00 a       425     0    18     1    17
  2.8581956466025433E+00 a       426     0    18     1    18
  1.1167879722684513E+00 a       427     0    18     1    19
  1.6999015578462807E+01 a       428     0    18     1    20
  8.1016156907078134E+00 a       429     0    18     1    21
 -3.1929880096079093E+00 a       430     0    18     1    22
  8.6387752412884322E-01 a       431     0    18     1    23
 -9.2807058350703677E+00 a       432     0    18     1    24
 -5.4069509080327922E+00 a       433     0    19     1     1
 -1.0196787083475416E+01 a       434     0    19     1     2
  1.8900745500162091E+00 a       435     0    19     1     3
 -5.0068745380925339E+00 a       436     0    19     1     4
 -1.3257003770626472E+01 a       437     0    19     1     5
  4.5641732561079777E+00 a       438     0    19     1     6
  3.6810396039633488E+00 a       439     0    19     1     7
 -1.5657416903862731E+00 a       440     0    19     1     8
 -2.4413405824243299E+00 a       441     0    19     1     9
  8.6062437507090745E+00 a       442     0    19     1    10
  1.1091130579526732E+01 a       443     0    19     1    11
 -7.9925735287026471E+00 a       444     0    19     1    12
  7.7500623842464933E-01 a       445     0    19     1    13
 -9.6971139353534035E+00 a       446     0    19     1    14
  3.2079523463340145E+00 a       447     0    19     1    15
 -6.1208790327629030E+00 a       448     0    19     1    16
 -1.0105769763927775E+01 a       449     0    19     1    17
 -6.0548419708817054E+00 a       450     0    19     1    18
  1.2514248102274850E+00 a       451     0    19     1    19
 -1.2888047606586584E+01 a       452     0    19     1    20
 -1.3799477474215338E+00 a       453     0    19     1    21
 -2.5591731031411320E+00 a       454     0    19     1    22
  1.2539425617015789E+01 a       455     0    19     1    23
  6.7974140693645939E+00 a       456     0    19     1    24
  2.8201635852148210E+00 a       457     0    20     1     1
  6.3113372268707879E+00 a       458     0    20     1     2
 -3.2215181875263386E+00 a       459     0    20     1     3
  6.3967510058765131E-01 a       460     0    20     1     4
  6.3144402565859679E+00 a       461     0    20     1     5
 -2.9929150683056949E+00 a       462     0    20     1     6
 -3.3673434341267439E+00 a       463     0    20     1     7
 -4.6584257521365098E+00 a       464     0    20     1     8
  8.4226087410438311E+00 a       465     0    20     1     9
  7.1840388387615626E+00 a       466     0    20     1    10
  7.0294342054900594E-01 a       467     0    20     1    11
 -3.0597705978716854E+00 a       468     0    20     1    12
  8.7181025872092892E+00 a       469     0    20     1    13
 -1.7513495250884454E+00 a       470     0    20     1    14
 -9.3804628548990099E+00 a       471     0    20     1    15
 -2.6488103775828606E+00 a       472     0    20     1    16
  9.8169042899845382E-01 a       473     0    20     1    17
  1.4372941006861106E+00 a       474     0    20     1    18
  1.3187007306912315E+01 a       475     0    20     1    19
  3.6425918740317718E+00 a       476     0    20     1    20
  1.0228215182912098E+01 a       477     0    20     1    21
  5.2374486513838097E+00 a       478     0    20     1    22
  2.6744014156654998E+00 a       479     0    20     1    23
  1.8245063789071811E+00 a       480     0    20     1    24
  7.8119800873554288E+00 a       481     0    21     1     1
  1.5051258228117945E+01 a       482     0    21     1     2
  6.6091938326350803E+00 a       483     0    21     1     3
  8.0964617531599838E+00 a       484     0    21     1     4
  1.9078050588728659E+00 a       485     0    21     1     5
